CIP,C,13	CIP7,C,7	PRIX_F,N,10,0	PRIX_E,N,10,0	FAB_HT_F,N,11,0	FAB_HT_E,N,11,0	TAUX,C,3	DATE_APPLI,D	DATE_JO,D
3400932345205	3234520	0	225	0	109	065	01/01/12	
3400932345205	3234520	0	206	0	109	065	07/03/08	06/03/08
3400932345373	3234537	0	220	0	105	065	01/01/12	
3400932345373	3234537	0	200	0	105	065	07/03/08	06/03/08
3400932345434	3234543	0	264	0	139	065	01/01/12	
3400932345434	3234543	0	247	0	139	065	07/03/08	06/03/08
3400932346554	3234655	0	356	0	211	065	01/01/12	
3400932346554	3234655	0	347	0	211	065	07/03/08	06/03/08
3400932349746	3234974	0	493	0	317	030	01/01/12	
3400932349746	3234974	0	494	0	317	030	02/05/11	06/04/11
3400932350865	3235086	0	3540	0	2610	100	01/01/12	
3400932350865	3235086	0	3614	0	2610	100	07/03/08	06/03/08
3400932351008	3235100	0	1209	0	852	065	01/12/13	16/10/13
3400932351008	3235100	0	1338	0	947	065	01/01/12	
3400932351008	3235100	0	1369	0	947	065	07/03/08	06/03/08
3400932351176	3235117	0	467	0	297	065	01/01/12	
3400932351176	3235117	0	467	0	297	065	07/03/08	06/03/08
3400932356959	3235695	0	721	0	492	065	01/01/12	
3400932356959	3235695	0	737	0	492	065	07/03/08	06/03/08
3400932360161	3236016	0	985	0	687	065	01/01/12	
3400932360161	3236016	0	1008	0	687	065	07/03/08	06/03/08
3400932363704	3236370	0	243	0	123	065	01/01/12	
3400932363704	3236370	0	225	0	123	065	07/03/08	06/03/08
3400932363872	3236387	0	353	0	208	065	01/01/12	
3400932363872	3236387	0	343	0	208	065	07/03/08	06/03/08
3400932363933	3236393	0	223	0	107	065	01/01/12	
3400932363933	3236393	0	203	0	107	065	07/03/08	06/03/08
3400932364015	3236401	0	262	0	138	065	01/01/12	
3400932364015	3236401	0	246	0	138	065	07/03/08	06/03/08
3400932372928	3237292	0	300	0	167	030	01/01/12	
3400932372928	3237292	0	286	0	167	030	02/05/11	06/04/11
3400932373000	3237300	0	300	0	167	030	01/01/12	
3400932373000	3237300	0	286	0	167	030	02/05/11	06/04/11
3400932373178	3237317	0	1118	0	785	065	01/01/12	
3400932373178	3237317	0	1144	0	785	065	07/03/08	06/03/08
3400932373697	3237369	0	600	0	0	030	02/05/11	
3400932376421	3237642	0	311	0	176	065	01/01/12	
3400932376421	3237642	0	299	0	176	065	07/03/08	06/03/08
3400932376599	3237659	0	2450	0	1725	065	07/03/08	06/03/08
3400932381043	3238104	0	497	0	320	065	01/01/12	
3400932381043	3238104	0	499	0	320	065	07/03/08	06/03/08
3400932381791	3238179	0	410	0	253	065	01/01/12	
3400932381791	3238179	0	406	0	253	065	07/03/08	06/03/08
3400932382743	3238274	0	9056	0	7240	100	01/01/12	
3400932382743	3238274	0	9097	0	7240	100	11/09/08	11/09/08
3400932386994	3238699	0	344	0	201	065	01/01/12	
3400932386994	3238699	0	333	0	201	065	07/03/08	06/03/08
3400932387076	3238707	0	1304	0	922	065	01/01/12	
3400932387076	3238707	0	1335	0	922	065	07/03/08	06/03/08
3400932387137	3238713	0	477	0	305	030	01/01/12	
